,_,_,_,start_loc,end_loc,_,_,_,gene_info
"
11,Chromosome,ena,gene,11382,11786,.,-,.,"ID=gene:b0013;Name=yaaI;biotype=protein_coding;description=UPF0412 family protein;gene_id=b0013;logic_name=ena
"
12,Chromosome,ena,gene,12163,14079,.,+,.,"ID=gene:b0014;Name=dnaK;biotype=protein_coding;description=chaperone Hsp70%2C with co-chaperone DnaJ;gene_id=b0014;logic_name=ena
"
13,Chromosome,ena,gene,14168,15298,.,+,.,"ID=gene:b0015;Name=dnaJ;biotype=protein_coding;description=chaperone Hsp40%2C DnaK co-chaperone;gene_id=b0015;logic_name=ena
"
14,Chromosome,ena,gene,15445,16557,.,+,.,"ID=gene:b0016;Name=insL1;biotype=protein_coding;description=IS186 transposase;gene_id=b0016;logic_name=ena
"
15,Chromosome,ena,gene,16751,16903,.,-,.,"ID=gene:b4412;Name=hokC;biotype=protein_coding;description=toxic membrane protein%2C small;gene_id=b4412;logic_name=ena
"
16,Chromosome,ena,gene,16751,16960,.,-,.,"ID=gene:b0018;Name=mokC;biotype=protein_coding;description=regulatory protein for HokC%2C overlaps CDS of hokC;gene_id=b0018;logic_name=ena
"
17,Chromosome,ena,gene,17489,18655,.,+,.,"ID=gene:b0019;Name=nhaA;biotype=protein_coding;description=sodium-proton antiporter;gene_id=b0019;logic_name=ena
"
18,Chromosome,ena,gene,18715,19620,.,+,.,"ID=gene:b0020;Name=nhaR;biotype=protein_coding;description=transcriptional activator of nhaA;gene_id=b0020;logic_name=ena
"
19,Chromosome,ena,gene,19811,20314,.,-,.,"ID=gene:b0021;Name=insB1;biotype=protein_coding;description=IS1 transposase B;gene_id=b0021;logic_name=ena
"
20,Chromosome,ena,gene,20233,20508,.,-,.,"ID=gene:b0022;Name=insA;biotype=protein_coding;description=IS1 repressor TnpA;gene_id=b0022;logic_name=ena
"
21,Chromosome,ena,gene,20815,21078,.,-,.,"ID=gene:b0023;Name=rpsT;biotype=protein_coding;description=30S ribosomal subunit protein S20;gene_id=b0023;logic_name=ena
"
22,Chromosome,ena,gene,21181,21399,.,+,.,"ID=gene:b0024;Name=yaaY;biotype=protein_coding;description=uncharacterized protein;gene_id=b0024;logic_name=ena
"
23,Chromosome,ena,gene,21407,22348,.,+,.,"ID=gene:b0025;Name=ribF;biotype=protein_coding;description=bifunctional riboflavin kinase/FAD synthetase;gene_id=b0025;logic_name=ena
"
24,Chromosome,ena,gene,22391,25207,.,+,.,"ID=gene:b0026;Name=ileS;biotype=protein_coding;description=isoleucyl-tRNA synthetase;gene_id=b0026;logic_name=ena
"
25,Chromosome,ena,gene,25207,25701,.,+,.,"ID=gene:b0027;Name=lspA;biotype=protein_coding;description=prolipoprotein signal peptidase (signal peptidase II);gene_id=b0027;logic_name=ena
"
26,Chromosome,ena,gene,25826,26275,.,+,.,"ID=gene:b0028;Name=fkpB;biotype=protein_coding;description=FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase);gene_id=b0028;logic_name=ena
"
27,Chromosome,ena,gene,26277,27227,.,+,.,"ID=gene:b0029;Name=ispH;biotype=protein_coding;description=4-hydroxy-3-methylbut-2-enyl diphosphate reductase%2C 4Fe-4S protein;gene_id=b0029;logic_name=ena
"
28,Chromosome,ena,gene,27293,28207,.,+,.,"ID=gene:b0030;Name=rihC;biotype=protein_coding;description=ribonucleoside hydrolase 3;gene_id=b0030;logic_name=ena
"
29,Chromosome,ena,gene,28374,29195,.,+,.,"ID=gene:b0031;Name=dapB;biotype=protein_coding;description=dihydrodipicolinate reductase;gene_id=b0031;logic_name=ena
"
30,Chromosome,ena,gene,29651,30799,.,+,.,"ID=gene:b0032;Name=carA;biotype=protein_coding;description=carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase;gene_id=b0032;logic_name=ena
"
31,Chromosome,ena,gene,30817,34038,.,+,.,"ID=gene:b0033;Name=carB;biotype=protein_coding;description=carbamoyl-phosphate synthase large subunit;gene_id=b0033;logic_name=ena
"
32,Chromosome,ena,gene,34300,34695,.,+,.,"ID=gene:b0034;Name=caiF;biotype=protein_coding;description=cai operon transcriptional activator;gene_id=b0034;logic_name=ena
"
33,Chromosome,ena,gene,34781,35371,.,-,.,"ID=gene:b0035;Name=caiE;biotype=protein_coding;description=stimulator of CaiD and CaiB enzyme activities;gene_id=b0035;logic_name=ena
"
34,Chromosome,ena,gene,35377,36162,.,-,.,"ID=gene:b0036;Name=caiD;biotype=protein_coding;description=carnitinyl-CoA dehydratase;gene_id=b0036;logic_name=ena
"
35,Chromosome,ena,gene,36271,37824,.,-,.,"ID=gene:b0037;Name=caiC;biotype=protein_coding;description=putative crotonobetaine/carnitine-CoA ligase;gene_id=b0037;logic_name=ena
"
36,Chromosome,ena,gene,37898,39115,.,-,.,"ID=gene:b0038;Name=caiB;biotype=protein_coding;description=crotonobetainyl CoA:carnitine CoA transferase;gene_id=b0038;logic_name=ena
"
37,Chromosome,ena,gene,39244,40386,.,-,.,"ID=gene:b0039;Name=caiA;biotype=protein_coding;description=crotonobetaine reductase subunit II%2C FAD-binding;gene_id=b0039;logic_name=ena
"
38,Chromosome,ena,gene,40417,41931,.,-,.,"ID=gene:b0040;Name=caiT;biotype=protein_coding;description=putative transporter;gene_id=b0040;logic_name=ena
"
39,Chromosome,ena,gene,42403,43173,.,+,.,"ID=gene:b0041;Name=fixA;biotype=protein_coding;description=anaerobic carnitine reduction putative electron transfer flavoprotein subunit;gene_id=b0041;logic_name=ena
"
40,Chromosome,ena,gene,43188,44129,.,+,.,"ID=gene:b0042;Name=fixB;biotype=protein_coding;description=putative electron transfer flavoprotein%2C NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein;gene_id=b0042;logic_name=ena
"
41,Chromosome,ena,gene,44180,45466,.,+,.,"ID=gene:b0043;Name=fixC;biotype=protein_coding;description=putative oxidoreductase;gene_id=b0043;logic_name=ena
"
42,Chromosome,ena,gene,45463,45750,.,+,.,"ID=gene:b0044;Name=fixX;biotype=protein_coding;description=putative 4Fe-4S ferredoxin-type protein;gene_id=b0044;logic_name=ena
"
43,Chromosome,ena,gene,45807,47138,.,+,.,"ID=gene:b0045;Name=yaaU;biotype=protein_coding;description=putative MFS sugar transporter%3B membrane protein;gene_id=b0045;logic_name=ena
"
44,Chromosome,ena,gene,47246,47776,.,+,.,"ID=gene:b0046;Name=kefF;biotype=protein_coding;description=potassium-efflux system ancillary protein for KefC%2C glutathione-regulated%3B quinone oxidoreductase%2C FMN-dependent;gene_id=b0046;logic_name=ena
"
45,Chromosome,ena,gene,47769,49631,.,+,.,"ID=gene:b0047;Name=kefC;biotype=protein_coding;description=potassium:proton antiporter;gene_id=b0047;logic_name=ena
"
46,Chromosome,ena,gene,49823,50302,.,+,.,"ID=gene:b0048;Name=folA;biotype=protein_coding;description=dihydrofolate reductase;gene_id=b0048;logic_name=ena
"
47,Chromosome,ena,gene,50380,51222,.,-,.,"ID=gene:b0049;Name=apaH;biotype=protein_coding;description=diadenosine tetraphosphatase;gene_id=b0049;logic_name=ena
"
48,Chromosome,ena,gene,51229,51606,.,-,.,"ID=gene:b0050;Name=apaG;biotype=protein_coding;description=protein associated with Co2+ and Mg2+ efflux;gene_id=b0050;logic_name=ena
"
49,Chromosome,ena,gene,51609,52430,.,-,.,"ID=gene:b0051;Name=rsmA;biotype=protein_coding;description=16S rRNA m(6)A1518%2C m(6)A1519 dimethyltransferase%2C SAM-dependent;gene_id=b0051;logic_name=ena
"
50,Chromosome,ena,gene,52427,53416,.,-,.,"ID=gene:b0052;Name=pdxA;biotype=protein_coding;description=4-hydroxy-L-threonine phosphate dehydrogenase%2C NAD-dependent;gene_id=b0052;logic_name=ena
"
51,Chromosome,ena,gene,53416,54702,.,-,.,"ID=gene:b0053;Name=surA;biotype=protein_coding;description=peptidyl-prolyl cis-trans isomerase (PPIase);gene_id=b0053;logic_name=ena
"
52,Chromosome,ena,gene,54755,57109,.,-,.,"ID=gene:b0054;Name=lptD;biotype=protein_coding;description=LPS assembly OM complex LptDE%2C beta-barrel component;gene_id=b0054;logic_name=ena
"
53,Chromosome,ena,gene,57364,58179,.,+,.,"ID=gene:b0055;Name=djlA;biotype=protein_coding;description=membrane-anchored DnaK co-chaperone%2C DNA-binding protein;gene_id=b0055;logic_name=ena
"
54,Chromosome,ena,gene,59687,60346,.,-,.,"ID=gene:b0058;Name=rluA;biotype=protein_coding;description=dual specificity 23S rRNA pseudouridine(746)%2C tRNA pseudouridine(32) synthase%2C SAM-dependent;gene_id=b0058;logic_name=ena
"
55,Chromosome,ena,gene,60358,63264,.,-,.,"ID=gene:b0059;Name=rapA;biotype=protein_coding;description=RNA polymerase remodeling/recycling factor ATPase%3B RNA polymerase-associated%2C ATP-dependent RNA translocase;gene_id=b0059;logic_name=ena
"
56,Chromosome,ena,gene,63429,65780,.,-,.,"ID=gene:b0060;Name=polB;biotype=protein_coding;description=DNA polymerase II;gene_id=b0060;logic_name=ena
"
57,Chromosome,ena,gene,65855,66550,.,-,.,"ID=gene:b0061;Name=araD;biotype=protein_coding;description=L-ribulose-5-phosphate 4-epimerase;gene_id=b0061;logic_name=ena
"
58,Chromosome,ena,gene,66835,68337,.,-,.,"ID=gene:b0062;Name=araA;biotype=protein_coding;description=L-arabinose isomerase;gene_id=b0062;logic_name=ena
"
59,Chromosome,ena,gene,68348,70048,.,-,.,"ID=gene:b0063;Name=araB;biotype=protein_coding;description=L-ribulokinase;gene_id=b0063;logic_name=ena
"
60,Chromosome,ena,gene,70387,71265,.,+,.,"ID=gene:b0064;Name=araC;biotype=protein_coding;description=ara regulon transcriptional activator%3B autorepressor;gene_id=b0064;logic_name=ena
"
61,Chromosome,ena,gene,71351,72115,.,+,.,"ID=gene:b0065;Name=yabI;biotype=protein_coding;description=DedA family inner membrane protein;gene_id=b0065;logic_name=ena
"
62,Chromosome,ena,gene,72229,72927,.,-,.,"ID=gene:b0066;Name=thiQ;biotype=protein_coding;description=thiamine/thiamine pyrophosphate ABC transporter ATPase;gene_id=b0066;logic_name=ena
"
63,Chromosome,ena,gene,72911,74521,.,-,.,"ID=gene:b0067;Name=thiP;biotype=protein_coding;description=thiamine/thiamine pyrophosphate ABC transporter permease;gene_id=b0067;logic_name=ena
"
64,Chromosome,ena,gene,74497,75480,.,-,.,"ID=gene:b0068;Name=thiB;biotype=protein_coding;description=thiamine/thiamine pyrophosphate/thiamine monophosphate ABC transporter periplasmic binding protein;gene_id=b0068;logic_name=ena
"
65,Chromosome,ena,gene,75644,77299,.,-,.,"ID=gene:b0069;Name=sgrR;biotype=protein_coding;description=transcriptional DNA-binding transcriptional activator of sgrS sRNA;gene_id=b0069;logic_name=ena
"
66,Chromosome,ena,gene,77388,77519,.,+,.,"ID=gene:b4662;Name=sgrT;biotype=protein_coding;description=inhibitor of glucose uptake;gene_id=b4662;logic_name=ena
"
67,Chromosome,ena,gene,77621,78799,.,+,.,"ID=gene:b0070;Name=setA;biotype=protein_coding;description=broad specificity sugar efflux system;gene_id=b0070;logic_name=ena
"
68,Chromosome,ena,gene,78848,79453,.,-,.,"ID=gene:b0071;Name=leuD;biotype=protein_coding;description=3-isopropylmalate dehydratase small subunit;gene_id=b0071;logic_name=ena
"
69,Chromosome,ena,gene,79464,80864,.,-,.,"ID=gene:b0072;Name=leuC;biotype=protein_coding;description=3-isopropylmalate dehydratase large subunit;gene_id=b0072;logic_name=ena
"
70,Chromosome,ena,gene,80867,81958,.,-,.,"ID=gene:b0073;Name=leuB;biotype=protein_coding;description=3-isopropylmalate dehydrogenase%2C NAD(+)-dependent;gene_id=b0073;logic_name=ena
"
71,Chromosome,ena,gene,81958,83529,.,-,.,"ID=gene:b0074;Name=leuA;biotype=protein_coding;description=2-isopropylmalate synthase;gene_id=b0074;logic_name=ena
"
72,Chromosome,ena,gene,83622,83708,.,-,.,"ID=gene:b0075;Name=leuL;biotype=protein_coding;description=leu operon leader peptide;gene_id=b0075;logic_name=ena
"
73,Chromosome,ena,gene,84368,85312,.,+,.,"ID=gene:b0076;Name=leuO;biotype=protein_coding;description=global transcription factor;gene_id=b0076;logic_name=ena
"
74,Chromosome,ena,gene,85630,87354,.,+,.,"ID=gene:b0077;Name=ilvI;biotype=protein_coding;description=acetolactate synthase 3 large subunit;gene_id=b0077;logic_name=ena
"
75,Chromosome,ena,gene,87357,87848,.,+,.,"ID=gene:b0078;Name=ilvH;biotype=protein_coding;description=acetolactate synthase 3%2C small subunit%2C valine-sensitive;gene_id=b0078;logic_name=ena
"
76,Chromosome,ena,gene,88028,89032,.,+,.,"ID=gene:b0080;Name=cra;biotype=protein_coding;description=transcriptional repressor-activator for carbon metabolism;gene_id=b0080;logic_name=ena
"
77,Chromosome,ena,gene,89634,90092,.,+,.,"ID=gene:b0081;Name=mraZ;biotype=protein_coding;description=RsmH methytransferase inhibitor;gene_id=b0081;logic_name=ena
"
78,Chromosome,ena,gene,90094,91035,.,+,.,"ID=gene:b0082;Name=rsmH;biotype=protein_coding;description=16S rRNA m(4)C1402 methyltransferase%2C SAM-dependent;gene_id=b0082;logic_name=ena
"
79,Chromosome,ena,gene,91032,91397,.,+,.,"ID=gene:b0083;Name=ftsL;biotype=protein_coding;description=membrane bound cell division leucine zipper septum protein;gene_id=b0083;logic_name=ena
"
80,Chromosome,ena,gene,91413,93179,.,+,.,"ID=gene:b0084;Name=ftsI;biotype=protein_coding;description=transpeptidase involved in septal peptidoglycan synthesis%3B penicillin-binding protein 3;gene_id=b0084;logic_name=ena
"
81,Chromosome,ena,gene,93166,94653,.,+,.,"ID=gene:b0085;Name=murE;biotype=protein_coding;description=UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase;gene_id=b0085;logic_name=ena
"
82,Chromosome,ena,gene,94650,96008,.,+,.,"ID=gene:b0086;Name=murF;biotype=protein_coding;description=UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase;gene_id=b0086;logic_name=ena
"
83,Chromosome,ena,gene,96002,97084,.,+,.,"ID=gene:b0087;Name=mraY;biotype=protein_coding;description=phospho-N-acetylmuramoyl-pentapeptide transferase;gene_id=b0087;logic_name=ena
"
84,Chromosome,ena,gene,97087,98403,.,+,.,"ID=gene:b0088;Name=murD;biotype=protein_coding;description=UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase;gene_id=b0088;logic_name=ena
"
85,Chromosome,ena,gene,98403,99647,.,+,.,"ID=gene:b0089;Name=ftsW;biotype=protein_coding;description=putative lipid II flippase%3B integral membrane protein%3B FtsZ ring stabilizer;gene_id=b0089;logic_name=ena
"
86,Chromosome,ena,gene,99644,100711,.,+,.,"ID=gene:b0090;Name=murG;biotype=protein_coding;description=N-acetylglucosaminyl transferase;gene_id=b0090;logic_name=ena
"
87,Chromosome,ena,gene,100765,102240,.,+,.,"ID=gene:b0091;Name=murC;biotype=protein_coding;description=UDP-N-acetylmuramate:L-alanine ligase;gene_id=b0091;logic_name=ena
"
88,Chromosome,ena,gene,102233,103153,.,+,.,"ID=gene:b0092;Name=ddlB;biotype=protein_coding;description=D-alanine:D-alanine ligase;gene_id=b0092;logic_name=ena
"
89,Chromosome,ena,gene,103155,103985,.,+,.,"ID=gene:b0093;Name=ftsQ;biotype=protein_coding;description=divisome assembly protein%2C membrane anchored protein involved in growth of wall at septum;gene_id=b0093;logic_name=ena
"
90,Chromosome,ena,gene,103982,105244,.,+,.,"ID=gene:b0094;Name=ftsA;biotype=protein_coding;description=ATP-binding cell division FtsK recruitment protein;gene_id=b0094;logic_name=ena
"
91,Chromosome,ena,gene,105305,106456,.,+,.,"ID=gene:b0095;Name=ftsZ;biotype=protein_coding;description=GTP-binding tubulin-like cell division protein;gene_id=b0095;logic_name=ena
"
92,Chromosome,ena,gene,106557,107474,.,+,.,"ID=gene:b0096;Name=lpxC;biotype=protein_coding;description=UDP-3-O-acyl N-acetylglucosamine deacetylase;gene_id=b0096;logic_name=ena
"
93,Chromosome,ena,gene,107705,108217,.,+,.,"ID=gene:b0097;Name=secM;biotype=protein_coding;description=regulator of secA translation;gene_id=b0097;logic_name=ena
"
94,Chromosome,ena,gene,108279,110984,.,+,.,"ID=gene:b0098;Name=secA;biotype=protein_coding;description=preprotein translocase subunit%2C ATPase;gene_id=b0098;logic_name=ena
"
95,Chromosome,ena,gene,111044,111433,.,+,.,"ID=gene:b0099;Name=mutT;biotype=protein_coding;description=dGTP-preferring nucleoside triphosphate pyrophosphohydrolase;gene_id=b0099;logic_name=ena
"
96,Chromosome,ena,gene,111649,111846,.,-,.,"ID=gene:b0101;Name=yacG;biotype=protein_coding;description=DNA gyrase inhibitor;gene_id=b0101;logic_name=ena
"
97,Chromosome,ena,gene,111856,112599,.,-,.,"ID=gene:b0102;Name=zapD;biotype=protein_coding;description=FtsZ stabilizer;gene_id=b0102;logic_name=ena
"
98,Chromosome,ena,gene,112599,113219,.,-,.,"ID=gene:b0103;Name=coaE;biotype=protein_coding;description=dephospho-CoA kinase;gene_id=b0103;logic_name=ena
"
99,Chromosome,ena,gene,113444,114487,.,+,.,"ID=gene:b0104;Name=guaC;biotype=protein_coding;description=GMP reductase;gene_id=b0104;logic_name=ena
"
100,Chromosome,ena,gene,114522,115724,.,-,.,"ID=gene:b0106;Name=hofC;biotype=protein_coding;description=assembly protein in type IV pilin biogenesis%2C transmembrane protein;gene_id=b0106;logic_name=ena
"
101,Chromosome,ena,gene,115714,117099,.,-,.,"ID=gene:b0107;Name=hofB;biotype=protein_coding;description=T2SE secretion family protein%3B P-loop ATPase superfamily protein;gene_id=b0107;logic_name=ena
"
102,Chromosome,ena,gene,117109,117549,.,-,.,"ID=gene:b0108;Name=ppdD;biotype=protein_coding;description=putative prepilin peptidase-dependent pilin;gene_id=b0108;logic_name=ena
"
103,Chromosome,ena,gene,117752,118645,.,-,.,"ID=gene:b0109;Name=nadC;biotype=protein_coding;description=quinolinate phosphoribosyltransferase;gene_id=b0109;logic_name=ena
"
104,Chromosome,ena,gene,118733,119284,.,+,.,"ID=gene:b0110;Name=ampD;biotype=protein_coding;description=1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase%2C Zn-dependent%3B murein amidase;gene_id=b0110;logic_name=ena
"
105,Chromosome,ena,gene,119281,120135,.,+,.,"ID=gene:b0111;Name=ampE;biotype=protein_coding;description=ampicillin resistance inner membrane protein%3B putative signaling protein in beta-lactamase regulation;gene_id=b0111;logic_name=ena
"
106,Chromosome,ena,gene,120178,121551,.,-,.,"ID=gene:b0112;Name=aroP;biotype=protein_coding;description=aromatic amino acid transporter;gene_id=b0112;logic_name=ena
"
107,Chromosome,ena,gene,122092,122856,.,+,.,"ID=gene:b0113;Name=pdhR;biotype=protein_coding;description=pyruvate dehydrogenase complex repressor%3B autorepressor;gene_id=b0113;logic_name=ena
"
108,Chromosome,ena,gene,123017,125680,.,+,.,"ID=gene:b0114;Name=aceE;biotype=protein_coding;description=pyruvate dehydrogenase%2C decarboxylase component E1%2C thiamine triphosphate-binding;gene_id=b0114;logic_name=ena
"
109,Chromosome,ena,gene,125695,127587,.,+,.,"ID=gene:b0115;Name=aceF;biotype=protein_coding;description=pyruvate dehydrogenase%2C dihydrolipoyltransacetylase component E2;gene_id=b0115;logic_name=ena
"
110,Chromosome,ena,gene,127912,129336,.,+,.,"ID=gene:b0116;Name=lpd;biotype=protein_coding;description=dihydrolipoyl dehydrogenase%3B E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes%3B glycine cleavage system L protein%3B dihydrolipoamide dehydrogenase;gene_id=b0116;logic_name=ena
"
111,Chromosome,ena,gene,129407,131260,.,-,.,"ID=gene:b0117;Name=yacH;biotype=protein_coding;description=DUF3300 family protein;gene_id=b0117;logic_name=ena
"
112,Chromosome,ena,gene,131615,134212,.,+,.,"ID=gene:b0118;Name=acnB;biotype=protein_coding;description=aconitate hydratase 2%3B aconitase B%3B 2-methyl-cis-aconitate hydratase;gene_id=b0118;logic_name=ena
"
113,Chromosome,ena,gene,134388,134750,.,+,.,"ID=gene:b0119;Name=yacL;biotype=protein_coding;description=UPF0231 family protein;gene_id=b0119;logic_name=ena
"
114,Chromosome,ena,gene,134788,135582,.,-,.,"ID=gene:b0120;Name=speD;biotype=protein_coding;description=S-adenosylmethionine decarboxylase;gene_id=b0120;logic_name=ena
"
115,Chromosome,ena,gene,135598,136464,.,-,.,"ID=gene:b0121;Name=speE;biotype=protein_coding;description=spermidine synthase (putrescine aminopropyltransferase);gene_id=b0121;logic_name=ena
"
116,Chromosome,ena,gene,136570,136917,.,-,.,"ID=gene:b0122;Name=yacC;biotype=protein_coding;description=PulS_OutS family protein;gene_id=b0122;logic_name=ena
"
117,Chromosome,ena,gene,137083,138633,.,+,.,"ID=gene:b0123;Name=cueO;biotype=protein_coding;description=multicopper oxidase (laccase);gene_id=b0123;logic_name=ena
"
118,Chromosome,ena,gene,138835,141225,.,-,.,"ID=gene:b0124;Name=gcd;biotype=protein_coding;description=glucose dehydrogenase;gene_id=b0124;logic_name=ena
"
119,Chromosome,ena,gene,141431,141967,.,+,.,"ID=gene:b0125;Name=hpt;biotype=protein_coding;description=hypoxanthine phosphoribosyltransferase;gene_id=b0125;logic_name=ena
"
120,Chromosome,ena,gene,142008,142670,.,-,.,"ID=gene:b0126;Name=can;biotype=protein_coding;description=carbonic anhydrase;gene_id=b0126;logic_name=ena
"
121,Chromosome,ena,gene,142779,143705,.,+,.,"ID=gene:b0127;Name=yadG;biotype=protein_coding;description=putative ABC transporter ATPase;gene_id=b0127;logic_name=ena
"
122,Chromosome,ena,gene,143702,144472,.,+,.,"ID=gene:b0128;Name=yadH;biotype=protein_coding;description=putative ABC transporter permease;gene_id=b0128;logic_name=ena
"
123,Chromosome,ena,gene,144577,145017,.,+,.,"ID=gene:b0129;Name=yadI;biotype=protein_coding;description=putative PTS Enzyme IIA;gene_id=b0129;logic_name=ena
"
124,Chromosome,ena,gene,145081,146310,.,+,.,"ID=gene:b0130;Name=yadE;biotype=protein_coding;description=putative polysaccharide deacetylase lipoprotein;gene_id=b0130;logic_name=ena
"
125,Chromosome,ena,gene,146314,146694,.,-,.,"ID=gene:b0131;Name=panD;biotype=protein_coding;description=aspartate 1-decarboxylase;gene_id=b0131;logic_name=ena
"
126,Chromosome,ena,gene,146968,147870,.,+,.,"ID=gene:b0132;Name=yadD;biotype=protein_coding;description=transposase_31 family protein;gene_id=b0132;logic_name=ena
"
127,Chromosome,ena,gene,147944,148795,.,-,.,"ID=gene:b0133;Name=panC;biotype=protein_coding;description=pantothenate synthetase;gene_id=b0133;logic_name=ena
"
128,Chromosome,ena,gene,148807,149601,.,-,.,"ID=gene:b0134;Name=panB;biotype=protein_coding;description=3-methyl-2-oxobutanoate hydroxymethyltransferase;gene_id=b0134;logic_name=ena
"
129,Chromosome,ena,gene,149715,150953,.,-,.,"ID=gene:b0135;Name=yadC;biotype=protein_coding;description=putative fimbrial-like adhesin protein;gene_id=b0135;logic_name=ena
"
130,Chromosome,ena,gene,151003,151599,.,-,.,"ID=gene:b0136;Name=yadK;biotype=protein_coding;description=putative fimbrial-like adhesin protein;gene_id=b0136;logic_name=ena
"
131,Chromosome,ena,gene,151626,152231,.,-,.,"ID=gene:b0137;Name=yadL;biotype=protein_coding;description=putative fimbrial-like adhesin protein;gene_id=b0137;logic_name=ena
"
132,Chromosome,ena,gene,152243,152812,.,-,.,"ID=gene:b0138;Name=yadM;biotype=protein_coding;description=putative fimbrial-like adhesin protein;gene_id=b0138;logic_name=ena
"
133,Chromosome,ena,gene,152829,155426,.,-,.,"ID=gene:b0139;Name=htrE;biotype=protein_coding;description=putative outer membrane usher protein;gene_id=b0139;logic_name=ena
"
134,Chromosome,ena,gene,155461,156201,.,-,.,"ID=gene:b0140;Name=yadV;biotype=protein_coding;description=putative periplasmic pilin chaperone;gene_id=b0140;logic_name=ena
"
135,Chromosome,ena,gene,156299,156883,.,-,.,"ID=gene:b0141;Name=yadN;biotype=protein_coding;description=putative fimbrial-like adhesin protein;gene_id=b0141;logic_name=ena
"
136,Chromosome,ena,gene,157253,157732,.,-,.,"ID=gene:b0142;Name=folK;biotype=protein_coding;description=2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase;gene_id=b0142;logic_name=ena
"
137,Chromosome,ena,gene,157729,159126,.,-,.,"ID=gene:b0143;Name=pcnB;biotype=protein_coding;description=poly(A) polymerase;gene_id=b0143;logic_name=ena
"
138,Chromosome,ena,gene,159186,160112,.,-,.,"ID=gene:b0144;Name=gluQ;biotype=protein_coding;description=glutamyl-Q tRNA(Asp) synthetase;gene_id=b0144;logic_name=ena
"
139,Chromosome,ena,gene,160149,160604,.,-,.,"ID=gene:b0145;Name=dksA;biotype=protein_coding;description=transcriptional regulator of rRNA transcription%3B DnaK suppressor protein;gene_id=b0145;logic_name=ena
"
140,Chromosome,ena,gene,160782,161486,.,-,.,"ID=gene:b0146;Name=sfsA;biotype=protein_coding;description=sugar fermentation stimulation protein A;gene_id=b0146;logic_name=ena
"
141,Chromosome,ena,gene,161501,162031,.,-,.,"ID=gene:b0147;Name=ligT;biotype=protein_coding;description=2'-5' RNA ligase;gene_id=b0147;logic_name=ena
"
142,Chromosome,ena,gene,162105,164534,.,+,.,"ID=gene:b0148;Name=hrpB;biotype=protein_coding;description=putative ATP-dependent helicase;gene_id=b0148;logic_name=ena
"
143,Chromosome,ena,gene,164730,167264,.,+,.,"ID=gene:b0149;Name=mrcB;biotype=protein_coding;description=fused glycosyl transferase and transpeptidase;gene_id=b0149;logic_name=ena
"
144,Chromosome,ena,gene,167484,169727,.,+,.,"ID=gene:b0150;Name=fhuA;biotype=protein_coding;description=ferrichrome outer membrane transporter;gene_id=b0150;logic_name=ena
